scenario,U_to_treatment_strength,U_to_outcome_strength,truth,sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
U_A0p4_U_Y1,0.4,1.0,0.14754195996125885,1000,naive_risk_difference,0.3063380729899584,0.1587961130286995,0.0036378321031435203,0.16205455094956692,0.003639882397591641,0.032537759493439754,0.029748849653847564,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1,0.4,1.0,0.14754195996125885,1000,logistic_gcomp_risk_difference,0.2193310231825644,0.07178906322130552,0.003283798468784374,0.07749550216945664,0.00309454439135263,0.029371186402446334,0.0009011427392596312,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1,0.4,1.0,0.14754195996125885,1000,ipw_risk_difference,0.21994632483637747,0.07240436487511864,0.003333916495224658,0.0782334774220261,0.0032151546722969096,0.029819455658520753,0.04492847861702449,0.6625,0.052867020674518816,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1,0.4,1.0,0.14754195996125885,1000,aipw_risk_difference,0.21979463390981008,0.0722526739485512,0.0032869398573649815,0.07793563247426992,0.0031832737283924314,0.029399283836086247,0.03260031459702427,0.425,0.05526922742358536,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1,0.4,1.0,0.14754195996125885,1000,adjusted_oracle_includes_U,0.14709744465908134,-0.00044451530217750007,0.0031160656678803065,0.027699764409299856,0.0020353431140665394,0.027870938622934598,0.0014956342609595617,0.075,0.02944804747347437,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1p5,0.4,1.5,0.1301826211903036,1000,naive_risk_difference,0.3007774551297204,0.17059483393941677,0.003651342297915309,0.17365439560334853,0.0035314636141143487,0.03265859834903568,0.02988574225873279,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1p5,0.4,1.5,0.1301826211903036,1000,logistic_gcomp_risk_difference,0.22919366002314517,0.09901103883284157,0.00399557618234221,0.10518741133824706,0.003742044121205738,0.035737519811985106,0.0006881426912676975,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1p5,0.4,1.5,0.1301826211903036,1000,ipw_risk_difference,0.23236795985014683,0.10218533865984322,0.004154810173946217,0.10865347116391397,0.0037879901322502543,0.03716175193020587,0.045018251785965316,0.375,0.05412658773652741,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1p5,0.4,1.5,0.1301826211903036,1000,aipw_risk_difference,0.23068147533982103,0.1004988541495174,0.004038383590322015,0.10671642097236002,0.0037433981956726784,0.03612040090871875,0.03310149835901808,0.1875,0.04363825013677794,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y1p5,0.4,1.5,0.1301826211903036,1000,adjusted_oracle_includes_U,0.13306071355997318,0.0028780923696695737,0.00345895688176288,0.03087830386808897,0.002125916667974311,0.03093785087545001,0.0018686261275688725,0.0875,0.03159187989025028,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0,0.8,0.0,0.1688965484384859,1000,naive_risk_difference,0.27556949642441875,0.10667294798593288,0.003290053338334112,0.11060854152626337,0.0031537170065180664,0.02942713165646076,0.029930752093401857,0.075,0.02944804747347437,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0,0.8,0.0,0.1688965484384859,1000,logistic_gcomp_risk_difference,0.1717551307531448,0.0028585823146588967,0.003355500105788227,0.029961017817913334,0.0022319016146852815,0.03001250534020085,0.0010311379774478313,0.075,0.02944804747347437,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0,0.8,0.0,0.1688965484384859,1000,ipw_risk_difference,0.17224978944542696,0.0033532410069410773,0.003295240917097071,0.02948007172117768,0.0020879996405287374,0.029473530771471197,0.04351312532724176,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0,0.8,0.0,0.1688965484384859,1000,aipw_risk_difference,0.17169103173060432,0.0027944832921184444,0.003454346719950617,0.0308298155450042,0.0022331125359476025,0.03089661633465204,0.03131498830021046,0.975,0.017455300054711183,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0,0.8,0.0,0.1688965484384859,1000,adjusted_oracle_includes_U,0.17093205461564848,0.0020355061771625974,0.0032932630009343848,0.02934185065175357,0.0022617985072191744,0.029455839751496952,0.0010349807146394928,0.0375,0.021240806834958038,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0p5,0.8,0.5,0.16271543277438527,1000,naive_risk_difference,0.321330175542049,0.15861474276766374,0.0032856186945768957,0.16128070110691556,0.003308034482564817,0.029387466996872245,0.029494191255007372,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0p5,0.8,0.5,0.16271543277438527,1000,logistic_gcomp_risk_difference,0.23162013411791443,0.06890470134352919,0.0034453219599709975,0.07540296477236003,0.0034744792712936494,0.03081589642747185,0.0011688208754460107,0.0125,0.01242162932146987,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0p5,0.8,0.5,0.16271543277438527,1000,ipw_risk_difference,0.23164598900596906,0.06893055623158378,0.0036320545993362664,0.07611553987713517,0.003599032129674806,0.032486083928426626,0.04325003781125555,0.7125,0.050601846557215675,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0p5,0.8,0.5,0.16271543277438527,1000,aipw_risk_difference,0.23068591632770236,0.06797048355331711,0.0035135788993488136,0.07480147279529821,0.003543447902742943,0.03142640505301136,0.031442111844989705,0.425,0.05526922742358536,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y0p5,0.8,0.5,0.16271543277438527,1000,adjusted_oracle_includes_U,0.15713196744326222,-0.00558346533112306,0.003809424382179502,0.03431618424102254,0.002428619832138076,0.034072527494794023,0.001143122288291861,0.025,0.017455300054711177,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1,0.8,1.0,0.14749956847109513,1000,naive_risk_difference,0.3554204671222811,0.20792089865118596,0.003441307892900465,0.21015866743249523,0.0034415110596691316,0.030779993520128026,0.02919689280696704,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1,0.8,1.0,0.14749956847109513,1000,logistic_gcomp_risk_difference,0.28180636496223677,0.13430679649114166,0.0035183658728206286,0.1378994146416156,0.003659841284514952,0.03146922104536922,0.0010562046791353066,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1,0.8,1.0,0.14749956847109513,1000,ipw_risk_difference,0.28066297719025013,0.13316340871915494,0.0036970941091614105,0.1371579574979607,0.003877296693522799,0.03306781498919577,0.043568587489111354,0.0125,0.01242162932146987,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1,0.8,1.0,0.14749956847109513,1000,aipw_risk_difference,0.28087313003187575,0.13337356156078065,0.0036001183463203407,0.13715835461210818,0.003780658269633186,0.03220043739766564,0.031786658274672364,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1,0.8,1.0,0.14749956847109513,1000,adjusted_oracle_includes_U,0.14846044155165497,0.0009608730805598355,0.0036810639278742276,0.03273211842706785,0.002755390229833061,0.032924436688996625,0.0015198912781017471,0.05,0.02436698586202241,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1p5,0.8,1.5,0.13041455288450676,1000,naive_risk_difference,0.36725281766845425,0.23683826478394746,0.0032494530619735706,0.23859279187944213,0.0032055839701864786,0.029063991745070964,0.02910856132490684,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1p5,0.8,1.5,0.13041455288450676,1000,logistic_gcomp_risk_difference,0.3079985870749604,0.1775840341904536,0.003569136713768539,0.18039525884290938,0.003529367538369064,0.03192332925190667,0.0008441512718210361,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1p5,0.8,1.5,0.13041455288450676,1000,ipw_risk_difference,0.3076198501576362,0.17720529727312945,0.0036948234640359085,0.18022264923049766,0.0036633231359124102,0.03304750572178217,0.04423385515743274,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1p5,0.8,1.5,0.13041455288450676,1000,aipw_risk_difference,0.30882262556668244,0.17840807268217568,0.0036769109601451394,0.18137666514925918,0.003626427867359582,0.03288729141639421,0.03217916132442447,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p8_U_Y1p5,0.8,1.5,0.13041455288450676,1000,adjusted_oracle_includes_U,0.12742580927966013,-0.002988743604846634,0.0032824354175500403,0.029327611353400014,0.0021763436757751093,0.029358994901579186,0.001805795768238075,0.0875,0.03159187989025028,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0,1.2,0.0,0.16901541252848218,1000,naive_risk_difference,0.2607168380903122,0.09170142556183002,0.003578499690618755,0.09706079843529403,0.003454512566489491,0.03200707426274201,0.03007345916100803,0.175,0.04248161366991607,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0,1.2,0.0,0.16901541252848218,1000,logistic_gcomp_risk_difference,0.1670595626905368,-0.0019558498379454023,0.003617288944063949,0.03221060250401297,0.002306995043863437,0.0323540158927417,0.0009908233122235316,0.0375,0.021240806834958038,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0,1.2,0.0,0.16901541252848218,1000,ipw_risk_difference,0.16852472751639205,-0.0004906850120901141,0.0036894737620415895,0.032796431001006224,0.0024414260048093504,0.03299965653250751,0.042791018243875475,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
