estimator,estimate,se,ci_lower,ci_upper,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
logistic_gcomp_risk_difference,0.13977058228656067,0.0012412113483112742,0.13733785274666818,0.14220331182645315,1600,83,20460691,0.1389913907227091,0.0007791915638515612,True,0.328125,0.05054480887346686,0.7886529362927422,False
ipw_risk_difference,0.13797053973481307,0.02937568224636584,0.08039526051064336,0.1955458189589828,1600,83,20460691,0.1389913907227091,-0.0010208509878960326,True,0.328125,0.05054480887346686,0.7886529362927422,False
aipw_risk_difference,0.13733481868220032,0.02377256888670904,0.09074143984425315,0.1839281975201475,1600,83,20460691,0.1389913907227091,-0.0016565720405087858,True,0.328125,0.05054480887346686,0.7886529362927422,False
naive_risk_difference,0.22958568297688434,0.02345155852660608,0.1836214728834032,0.2755498930703655,1600,84,20460692,0.1389913907227091,0.09059429225417523,False,0.379375,0.0705802736814248,0.7805669538451958,False
logistic_gcomp_risk_difference,0.11296769071409458,0.0009532493202664147,0.11109935637808513,0.11483602505010404,1600,84,20460692,0.1389913907227091,-0.026023700008614523,False,0.379375,0.0705802736814248,0.7805669538451958,False
ipw_risk_difference,0.11702341346792026,0.030225215860267985,0.05778307895684619,0.17626374797899436,1600,84,20460692,0.1389913907227091,-0.021967977254788842,True,0.379375,0.0705802736814248,0.7805669538451958,False
aipw_risk_difference,0.11700724769959728,0.024690203450487516,0.06861533816567517,0.1653991572335194,1600,84,20460692,0.1389913907227091,-0.02198414302311183,True,0.379375,0.0705802736814248,0.7805669538451958,False
naive_risk_difference,0.21092049192224227,0.02354435891187153,0.16477439641588942,0.2570665874285951,1600,85,20460693,0.1389913907227091,0.07192910119953316,False,0.336875,0.06775160764612494,0.7736599870313752,False
logistic_gcomp_risk_difference,0.1125301437035543,0.0010115621643130512,0.11054751829337733,0.11451276911373126,1600,85,20460693,0.1389913907227091,-0.02646124701915481,False,0.336875,0.06775160764612494,0.7736599870313752,False
ipw_risk_difference,0.12476011441378486,0.030455710460814633,0.06506801878700841,0.1844522100405613,1600,85,20460693,0.1389913907227091,-0.014231276308924248,True,0.336875,0.06775160764612494,0.7736599870313752,False
aipw_risk_difference,0.12522325312155694,0.02558620669587213,0.07507520949664998,0.1753712967464639,1600,85,20460693,0.1389913907227091,-0.01376813760115217,True,0.336875,0.06775160764612494,0.7736599870313752,False
naive_risk_difference,0.256456043956044,0.023742986215234175,0.20992064608875405,0.30299144182333393,1600,86,20460694,0.1389913907227091,0.11746465323333488,False,0.35,0.05909131415435559,0.7864211796013115,False
logistic_gcomp_risk_difference,0.13299699771148163,0.0013024487419660417,0.1304442450855187,0.13554975033744457,1600,86,20460694,0.1389913907227091,-0.005994393011227478,False,0.35,0.05909131415435559,0.7864211796013115,False
ipw_risk_difference,0.14115586863897742,0.0282237963876499,0.08583824421219194,0.1964734930657629,1600,86,20460694,0.1389913907227091,0.002164477916268309,True,0.35,0.05909131415435559,0.7864211796013115,False
